,mitigation,tRH,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,soa_3,aos_3,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
0,Chronus,1024,Mix4,0.1638520615863725,0.1777643024535882,0.1634894679644369,0.1766744906552612,0,0,0,0,0,0,0,25295523.92533206,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4464909024199555,2.239687291678411,0.4133346265093789,2.4193472694146743,0.4455028480012175,2.244654561663469,0.4108006140760074,2.434270947353008,1.7161289910065594,0.4283590816375238,0.5891993859239926,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,1.0001582464585623,1.0001971274043644,0.99957421685989,1.1004231879251667
1,Chronus,512,Mix4,0.1636140993571739,0.1774268530119869,0.1634056653514885,0.1763442644363927,0,0,0,0,0,0,0,25290290.61501174,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.44584246400893957,2.2429447186527955,0.4125499946289344,2.4239486438472606,0.4452744889319558,2.245805732995438,0.41003277751402245,2.43882941764528,1.7136997250838522,0.42773756123174916,0.5899672224859775,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.998742472727002,0.9987459082027016,1.0008768482754318,1.100195524879203
2,Chronus,256,Mix4,0.1632030609086286,0.1762972677987143,0.1629051939586505,0.1760197299529594,0,0,0,0,0,0,0,25311004.35335021,100000001,100000000,100000002,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4447223992014331,2.2485937335192756,0.4099235017065972,2.4394795512743013,0.44391072260725917,2.2527052154239793,0.4092781752814716,2.4433259831464826,1.707834798796761,0.42625271352115945,0.5907218247185284,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9953243995975076,0.9952788627298068,1.0021570277081715,1.1010966280958652
3,Chronus,128,Mix4,0.1627783827327792,0.1761007724695604,0.162913184707627,0.1765517256964566,0,0,0,0,0,0,0,25239494.560190275,100000001,100000000,100000002,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4435651666336078,2.2544601678021676,0.4094666140054916,2.4422015514715163,0.44393249710729893,2.252594722206829,0.41051516301696145,2.4359636137452063,1.7074794407633598,0.4262020470977436,0.5905333859945083,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9951172972937682,0.995160559153838,1.0018373422256535,1.097985760149852
4,Chronus,64,Mix4,0.1607587583033625,0.1751796296740117,0.1607811481338377,0.1734727810243093,0,0,0,0,0,0,0,25439799.191932864,100000002,100000000,100000000,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4380617635924181,2.2827831212641994,0.40732478795771504,2.4550433206235693,0.4381227750653109,2.282465228727108,0.40335605160629273,2.4791991988658166,1.6868653782217367,0.4210751981299253,0.5966439483937073,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9831034424191855,0.9831896220824324,1.0122038849795536,1.1066995492798575
5,Chronus,32,Mix4,0.1564420559413914,0.1687326691195436,0.1562537717706578,0.1689232218955847,0,0,0,0,0,0,0,25666690.099984556,100000001,100000000,100000002,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.42629890681530735,2.3457719079567023,0.39233442152237574,2.5488459465771545,0.4257858393049671,2.34859853872161,0.3927774916969167,2.545970736967894,1.6371966593395668,0.40861411134437386,0.6076655784776243,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9541565631103652,0.9540936048820976,1.0309020328779492,1.1165699127910653
6,Chronus,20,Mix4,0.1483141678949527,0.1599456126057155,0.1484947078988769,0.1597554233930889,0,0,0,0,0,0,0,26429773.09722018,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.404150707802811,2.474324504926785,0.37190290252711394,2.6888738786519526,0.40464267274053944,2.4713162188932287,0.37146067770423286,2.6920749894184692,1.5521569607746972,0.38734956632160883,0.6285393222957671,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9045955124890371,0.9044419510265879,1.066314249231898,1.1497660714058542
7,Chronus+PB,1024,Mix4,0.1636354455225158,0.1776155978437296,0.1634582247547102,0.176516415946368,0,0,0,0,0,0,0,25289667.72296673,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4459006315323411,2.2426521275906066,0.41298886100118765,2.421372812757592,0.44541771139219155,2.245083602253744,0.4104330613679601,2.436450895712525,1.7147402652936805,0.428010760233464,0.5895669386320399,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9993488985126424,0.9993838142689868,1.0001977684437482,1.1001684274033048
8,Chronus+PB,512,Mix4,0.1636592563224363,0.1768958073593902,0.1635862573754334,0.1769359389136739,0,0,0,0,0,0,0,25246199.090479404,100000002,100000000,100000003,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.44596551509523874,2.242325843930878,0.41131521602914883,2.431225398501019,0.4457665956223467,2.2433264623695575,0.4114085292578013,2.4306739624578104,1.7144558560045355,0.4279195389751522,0.5886847839708511,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9991831450655541,0.9991708171727822,0.9987011968659888,1.098277425213445
9,Chronus+PB,256,Mix4,0.1628283972950002,0.1762494512627553,0.1628727618705729,0.177345070623622,0,0,0,0,0,0,0,25335825.82560175,100000001,100000000,100000003,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4437014544947674,2.2537676851627113,0.40981231948520186,2.4401413829046925,0.4438223463480108,2.2531537860328426,0.41235983556728206,2.4250664437876286,1.709695955895262,0.4267973555274626,0.5901876805147981,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9964090800788559,0.9965505746965186,1.0012508543704368,1.1021764287635507
10,Chronus+PB,128,Mix4,0.1621889538916426,0.1750152864039142,0.1620830380862508,0.1754812997115819,0,0,0,0,0,0,0,25276368.32966602,100000003,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4419589945009935,2.262653351198517,0.4069426596944614,2.4573486612359954,0.44167037778740403,2.2641319189428306,0.4080262261575511,2.450822853759087,1.6985982581404102,0.42395530696033384,0.5930573403055386,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9899413530114928,0.9899145327993346,1.0061192198278879,1.099589868097056
11,Chronus+PB,64,Mix4,0.1579176250068721,0.1715754202816699,0.1580488813322418,0.1711296073200648,0,0,0,0,0,0,0,25612082.87594898,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.4303197787973309,2.3238532116623283,0.3989443396760126,2.506615335894004,0.43067744750528153,2.321923299658584,0.39790774272468604,2.5131453666934647,1.657849308703311,0.4138414566594535,0.602092257275314,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.9661929063459926,0.9662991959205935,1.0214469174973189,1.1141943519711213
12,Chronus+PB,32,Mix4,0.11537169965596,0.1254002743840767,0.115348186165918,0.1263507361188832,0,0,0,0,0,0,0,30057281.128896244,100000000,100000000,100000003,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.3143836811962207,3.1808266771195925,0.2915786514013333,3.4296063693071437,0.31431960779191775,3.1814750820827205,0.293788649363496,3.403807472366741,1.2140705897529678,0.30312869123478225,0.7084213485986667,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.7075591161781147,0.707790401099587,1.2018337623041713,1.3075724075870774
13,Chronus+PB,20,Mix4,0.0172834079033449,0.0195783032704362,0.0173397962318305,0.0195694087379137,0,0,0,0,0,0,0,121683582.5390337,100000001,100000000,100000001,100000000,0.3669773800503069,0.4300735797404929,0.3669773800503069,0.4300735797404929,0.047096657295268754,21.23292941430173,0.04552314811398036,21.96684635026143,0.047250313437448066,21.163880771369733,0.04550246669354094,21.97683054712174,0.1853725855402381,0.0463282074856982,0.954497533306459,100000000,1.7158574626396987,0.42827465696604106,0.5894503639508946,22987087.334125005,0.1080349560359509,0.10817405777379836,1.6193009482745446,5.293562458362911
