,mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,aipc_0,soa_0,aos_0,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
11,Chronus+PB,64,523.xalancbmk,2.0569997293399784,0,0,0,0,0,0,0,1209939.6863381844,100000001,2.1132167930912686,0.9733973987263964,1.0273296408110508,0.9733973987263964,0.9733973987263964,0.026602601273603588,100000001,1.0,1.0,0.0,1104214.677332853,0.9733973987263964,0.9733973987263964,inf,1.0957467883516112
12,Chronus+PB,32,523.xalancbmk,1.793283818615656,0,0,0,0,0,0,0,1331849.6112988163,100000001,2.1132167930912686,0.8486038084111539,1.178406212755875,0.8486038084111539,0.8486038084111539,0.1513961915888461,100000001,1.0,1.0,0.0,1104214.677332853,0.8486038084111539,0.8486038084111539,inf,1.206150976471168
13,Chronus+PB,20,523.xalancbmk,0.7929553797192878,0,0,0,0,0,0,0,2570558.8300625994,100000001,2.1132167930912686,0.3752361718455455,2.6649882794658173,0.3752361718455455,0.3752361718455455,0.6247638281544545,100000001,1.0,1.0,0.0,1104214.677332853,0.3752361718455455,0.3752361718455455,inf,2.327952057539744
14,Graphene,1024,523.xalancbmk,2.1132167930912686,0,0,0,0,0,0,0,1104214.677332853,100000001,2.1132167930912686,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,1104214.677332853,1.0,1.0,,1.0
15,Graphene,512,523.xalancbmk,2.1131985732528658,9,0,0,0,0,0,0,1104298.8754570112,100000001,2.1132167930912686,0.9999913781499076,1.0000086219244293,0.9999913781499076,0.9999913781499077,8.62185009242733e-06,100000001,1.0,1.0,0.0,1104214.677332853,0.9999913781499076,0.9999913781499077,inf,1.0000762515893753
16,Graphene,256,523.xalancbmk,2.1046109267904574,230,0,0,0,0,0,0,1109109.8650339013,100000001,2.1132167930912686,0.9959275989434939,1.004089053321573,0.9959275989434939,0.9959275989434939,0.004072401056506081,100000001,1.0,1.0,0.0,1104214.677332853,0.9959275989434939,0.9959275989434939,inf,1.0044331847796772
17,Graphene,128,523.xalancbmk,2.0885629417258365,735,0,0,0,0,0,0,1117273.1475772685,100000001,2.1132167930912686,0.9883334963804788,1.011804217566486,0.9883334963804788,0.988333496380479,0.011666503619521151,100000001,1.0,1.0,0.0,1104214.677332853,0.9883334963804788,0.988333496380479,inf,1.01182602487766
18,Graphene,64,523.xalancbmk,2.0544962732670675,1886,0,0,0,0,0,0,1135761.2544548872,100000001,2.1132167930912686,0.9722127327323085,1.028581468162424,0.9722127327323085,0.9722127327323083,0.02778726726769154,100000001,1.0,1.0,0.0,1104214.677332853,0.9722127327323085,0.9722127327323083,inf,1.0285692427112385
19,Graphene,32,523.xalancbmk,1.9812994851831096,4343,0,0,0,0,0,0,1177800.3209719968,100000001,2.1132167930912686,0.9375751184926053,1.0665812053627861,0.9375751184926053,0.9375751184926053,0.06242488150739467,100000001,1.0,1.0,0.0,1104214.677332853,0.9375751184926053,0.9375751184926053,inf,1.0666407041580759
20,Graphene,20,523.xalancbmk,1.900368091793859,7409,0,0,0,0,0,0,1227577.2803492271,100000001,2.1132167930912686,0.8992773945421619,1.1120039334571705,0.8992773945421619,0.899277394542162,0.10072260545783807,100000001,1.0,1.0,0.0,1104214.677332853,0.8992773945421619,0.899277394542162,inf,1.1117197638726803
